stage,global_iteration,iteration,elapsed_seconds,operator,destroyed_routes,accepted,improved_current,new_global_best,current_aircraft_time_minutes,best_aircraft_time_minutes,current_passenger_time_minutes,best_passenger_time_minutes,current_flights,best_flights,temperature
1,1,1,6.506697,worst_time_per_person,3,1,0,0,15743,15743,120396,120396,100,100,0.002
1,2,2,8.617813,low_utilization,2,1,0,0,15743,15743,120396,120396,100,100,0.00197
1,3,3,11.064837,worst_time_per_person,2,1,1,1,15743,15743,120390,120390,100,100,0.00194045
1,4,4,21.954079,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0019113432500000001
1,5,5,27.832394,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00188267310125
1,6,6,32.825774,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.00185443300473125
1,7,7,35.555949,random_routes,2,1,0,0,15743,15743,120390,120390,100,100,0.0018266165096602813
1,8,8,36.877107,low_utilization,2,1,0,0,15743,15743,120390,120390,100,100,0.0017992172620153772
1,9,9,42.388454,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0017722290030851465
1,10,10,44.947429,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017456455680388693
1,11,11,45.622497,land_reassignment,2,1,0,0,15743,15743,120390,120390,100,100,0.0017194608845182862
1,12,12,54.714501,random_routes,3,1,0,0,15743,15743,120390,120390,100,100,0.0016936689712505118
