iteration,ranker,candidate_rank,selected,left_index,right_index,base_airport,left_signature,right_signature,left_load,right_load,left_services,right_services,same_cluster_fraction,minimum_distance_km,airport_profile_gap_km,fuel_signature_gap,distance_relatedness,consensus_relatedness,airport_relatedness,fuel_relatedness,capacity_relatedness,static_relatedness_score,context_capacity_score,context_stop_score,context_airport_score,context_relatedness_score,combined_candidate_score,outcome,route_evaluations,technical_stop_searches,augmentation_cache_hits,lower_bound_pruned,augmentation_infeasible,saving_minutes,accepted,evaluated_elapsed_seconds,accepted_elapsed_seconds
0,raw_distance,1,True,97,99,A03,A03|F046|1|P2863,A03|F047|5|P0040+P1063+P1231+P2315+P2850,1,5,F046,F047,0.0,15.0,13.333333333333334,0.1388888888888889,,,,,,,,,,,,improving_not_selected,6,6,0,0,0,147,False,3.692685000001802,
0,raw_distance,2,True,97,103,A03,A03|F046|1|P2863,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,1,14,F046,F049,0.0,17.0,11.333333333333334,0.1388888888888889,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,146,False,3.8792425999999978,
0,raw_distance,3,True,15,19,A01,A01|F008|3|P1310+P1334+P3410,A01|F010|12|P0028+P0077+P0375+P0395+P0583+P0631+P0642+P0835+P1907+P2840+P3644+P3775,3,12,F008,F010,0.0,19.0,3.6666666666666665,0.013888888888888888,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,131,False,1.2579530000002705,
0,raw_distance,4,True,99,103,A03,A03|F047|5|P0040+P1063+P1231+P2315+P2850,A03|F049|14|P1520+P2198+P2832+P2893+P2922+P3149+P3191+P3205+P3276+P3416+P3452+P3703+P3771+P3868,5,14,F047,F049,0.0,19.0,2.6666666666666665,0.0,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,142,False,4.186332500001299,
0,raw_distance,5,True,54,62,A02,A02|F025|7|P1886+P2791+P3216+P3506+P3560+P3584+P3815,A02|F029|12|P0226+P1827+P1956+P2101+P2590+P2617+P2683+P2796+P2810+P3402+P3626+P3741,7,12,F025,F029,0.0,24.0,12.666666666666666,0.0,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,117,False,3.010647200004314,
0,raw_distance,6,True,0,37,A01,A01|F001|4|P0036+P0918+P2537+P2942,A01|F019|13|P0045+P0134+P0344+P0493+P0572+P0946+P1099+P1101+P1160+P1164+P1284+P1345+P1500,4,13,F001,F019,0.0,25.0,17.333333333333332,0.027777777777777776,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,127,False,0.37097190000349656,
0,raw_distance,7,True,9,29,A01,A01|F005|11|P0177+P0622+P0879+P0978+P1006+P1078+P1307+P1710+P1910+P3403+P3882,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,11,7,F005,F015,0.0,25.0,4.0,0.0,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,81,False,0.8317144000029657,
0,raw_distance,8,True,27,29,A01,A01|F014|12|P0061+P0303+P0849+P1095+P1163+P1235+P1805+P1853+P1902+P2120+P2969+P3614,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F014,F015,0.0,27.0,26.666666666666668,0.1388888888888889,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,74,False,2.2202222000050824,
0,raw_distance,9,True,86,90,A03,A03|F041|5|P0227+P0326+P0368+P1137+P2262,A03|F043|14|P0095+P0132+P0520+P0588+P0601+P0778+P0848+P0965+P1050+P1171+P1294+P2636+P3023+P3270,5,14,F041,F043,0.0,28.0,23.0,0.0,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,151,False,3.253909400002158,
0,raw_distance,10,True,3,13,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F007|9|P0057+P0480+P0652+P0685+P0786+P0812+P1703+P1838+P2738,7,9,F002,F007,0.0,30.0,14.666666666666666,0.027777777777777776,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,122,False,0.7095563000038965,
0,raw_distance,11,True,21,29,A01,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,12,7,F011,F015,0.0,31.0,13.0,0.125,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,79,False,2.107346500000858,
0,raw_distance,12,True,29,59,A01,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,A01|F028|12|P0241+P0272+P0289+P0320+P0490+P0559+P0600+P0634+P0700+P0953+P1113+P1179,7,12,F015,F028,0.0,32.0,27.666666666666668,0.16666666666666666,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,92,False,2.3491202000004705,
0,raw_distance,13,True,3,7,A01,A01|F002|7|P1754+P1771+P2409+P2625+P2819+P3592+P3961,A01|F004|11|P0146+P0632+P0908+P1052+P1216+P1264+P1553+P2173+P2793+P3113+P3938,7,11,F002,F004,0.0,33.0,21.333333333333332,0.16666666666666666,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,103,False,0.4916759000043385,
0,raw_distance,14,True,15,21,A01,A01|F008|3|P1310+P1334+P3410,A01|F011|12|P0174+P0284+P0293+P0535+P0707+P0823+P0923+P1529+P1571+P1718+P3108+P3175,3,12,F008,F011,0.0,33.0,22.0,0.19444444444444445,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,113,False,1.5430611000047065,
0,raw_distance,15,True,99,109,A03,A03|F047|5|P0040+P1063+P1231+P2315+P2850,A03|F052|11|P0465+P1035+P2138+P2378+P3105+P3227+P3440+P3587+P3611+P3640+P3987,5,11,F047,F052,0.0,33.0,17.666666666666668,0.08333333333333333,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,162,False,4.356746600002225,
0,raw_distance,16,True,67,74,A02,A02|F032|14|P0099+P0379+P0390+P0422+P0546+P0616+P0618+P0738+P1254+P1300+P1681+P2097+P2351+P3385,A02|F035|5|P0115+P3360+P3552+P3652+P3844,14,5,F032,F035,0.0,35.0,17.333333333333332,0.0,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,138,False,3.1350309000044945,
0,raw_distance,17,True,17,29,A01,A01|F009|11|P0086+P0252+P0860+P1085+P1610+P1743+P1763+P1949+P2163+P3118+P3137,A01|F015|7|P0269+P0476+P0484+P0570+P0637+P1402+P3945,11,7,F009,F015,0.0,38.0,21.333333333333332,0.1527777777777778,,,,,,,,,,,,improving_not_selected,2,2,0,0,0,72,False,1.9413987000007182,
0,raw_distance,18,True,49,74,A02,A02|F023|9|P0068+P0111+P0298+P0611+P0693+P1031+P1482+P2314+P2790,A02|F035|5|P0115+P3360+P3552+P3652+P3844,9,5,F023,F035,0.0,38.0,6.0,0.0,,,,,,,,,,,,improving_not_selected,4,4,0,0,0,158,False,2.7037584999998217,
